Altitude,Cl,Altitude,Cl2,Altitude,HCl
0.968129696,0.075877653,0.94,8.28,0.98,204.54
1.556547489,0.087376742,1.53,8.41,1.57,204.54
2.145001017,0.099969312,2.12,8.82,2.16,206.67
2.733604629,0.11130917,2.71,8.87,2.75,203.77
3.368042351,0.125683527,3.3,9.09,3.41,196.7
3.873497709,0.143911825,3.89,9.46,4.03,197.51
4.534539767,0.170809375,4.48,9.78,4.62,197.62
5.247715699,0.20480307,5.07,10.39,5.21,196.34
5.836126345,0.236146024,5.65,10.7,5.8,199.6
6.424158208,0.291623463,6.24,11.34,6.39,200.61
7.012018546,0.371498925,6.83,12.26,6.98,201.39
7.599907472,0.470807943,7.42,13.23,7.57,198.39
8.18776781,0.59976191,8.01,14.03,8.16,192.89
8.775656736,0.760090143,8.6,15.38,8.75,189.99
9.363509927,0.969532606,9.24,16.36,9.33,189.5
9.951348824,1.239892913,9.73,17.2,9.92,190.98
10.53963083,1.463350329,10.36,18.89,10.51,189.74
11.12808436,1.674245602,10.99,19.88,11.1,185.61
11.71665223,1.876266427,11.57,21.42,11.69,177.39
12.30517723,2.119059577,12.11,22.15,12.28,174.66
12.89360217,2.43704138,12.69,23.55,12.87,178.08
13.48201282,2.810004913,13.31,24.49,13.46,176.02
14.07043776,3.231668578,13.9,26.79,14.05,172.86
14.65884126,3.731068404,14.46,28.13,14.64,170.86
15.24745916,4.1435541,15.08,30.19,15.23,168.88
15.83621286,4.489837676,15.66,31.3,15.82,168.66
16.42501658,4.821173136,16.28,32.98,16.41,170.19
17.01380601,5.190381204,16.84,34.99,16.99,163.92
17.60266691,5.51599146,17.45,36.66,17.58,162.65
18.19145634,5.938409095,18.07,39.61,18.17,164.99
18.78021004,6.434691631,18.61,41.24,18.76,158.91
19.36899947,6.927463825,19.22,43.27,19.35,155.85
19.95779604,7.448324244,19.76,45.86,19.94,155.51
20.54667124,7.895115076,20.38,47.86,20.53,151.48
21.13561075,8.271768598,20.97,49.18,21.12,149.06
21.72452168,8.711384198,21.55,50.86,21.71,153.6
22.31339687,9.233940206,22.14,52.4,22.3,144.95
22.90227206,9.787841954,22.73,54.12,22.89,143.22
23.49119014,10.29469583,23.32,55.83,23.48,142.2
24.08012965,10.78582654,23.91,57.44,24.07,137.1
24.66903343,11.37377003,24.5,59.33,24.66,137.94
25.25794436,11.97824616,25.09,61.21,25.24,134.5
25.84684099,12.64755174,25.68,62.49,25.83,131.54
26.43573762,13.35425594,26.27,64.29,26.46,131.27
27.02462711,14.11871417,26.86,66.15,26.96,128.65
27.61350945,14.94626976,27.44,68.41,27.6,125.39
28.2024704,15.59861608,28.03,70.76,28.24,125.38
28.82845678,16.4480855,28.62,72.52,28.73,123.08
29.36364009,17.0320994,29.21,75.29,29.37,120.61
29.86207547,18.22354066,29.8,77.47,29.93,120.83
,,30.12,78.68,,
